Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.000568318588193506,-0.012628709897398949,0.003438939806073904,0.0,0.0,0.0,0,0,0
1,-0.000568318588193506,-0.012628709897398949,0.003438939806073904,0.0,0.0,0.0,0,0,0
2,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
3,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
4,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
5,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
6,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
7,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
8,-0.003138801548629999,0.0011209244839847088,0.0024517059791833162,0.0,0.0,0.0,0,0,0
9,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
10,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
11,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
12,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
13,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
14,-0.0022857910953462124,0.006187322083860636,-0.0014149374328553677,0.0,0.0,0.0,0,0,0
15,-0.003916711080819368,0.007020625285804272,0.0020548950415104628,0.0,0.0,0.0,0,0,0
16,-0.003916711080819368,0.007020625285804272,0.0020548950415104628,0.0,0.0,0.0,0,0,0
17,-0.003916711080819368,0.007020625285804272,0.0020548950415104628,0.0,0.0,0.0,0,0,0
18,-0.003916711080819368,0.007020625285804272,0.0020548950415104628,0.0,0.0,0.0,0,0,0
19,-0.003916711080819368,0.007020625285804272,0.0020548950415104628,0.0,0.0,0.0,0,0,0
20,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
21,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
22,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
23,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
24,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
25,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
26,-0.003497795667499304,0.009709618985652924,0.0001347559446003288,0.0,0.0,0.0,0,0,0
27,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
28,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
29,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
30,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
31,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
32,-0.003288205014541745,0.009039567783474922,0.00017869810108095407,0.0,0.0,0.0,0,0,0
33,-0.002502838848158717,0.008974053896963596,0.0008735168376006186,0.0,0.0,0.0,0,0,0
34,-0.002502838848158717,0.008974053896963596,0.0008735168376006186,0.0,0.0,0.0,0,0,0
35,-0.002502838848158717,0.008974053896963596,0.0008735168376006186,0.0,0.0,0.0,0,0,0
36,-0.002502838848158717,0.008974053896963596,0.0008735168376006186,0.0,0.0,0.0,0,0,0
37,-0.002502838848158717,0.008974053896963596,0.0008735168376006186,0.0,0.0,0.0,0,0,0
38,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
39,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
40,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
41,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
42,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
43,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
44,-0.0031763522420078516,0.005642439238727093,0.0024892566725611687,0.0,0.0,0.0,0,0,0
45,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
46,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
47,-0.002011219272390008,0.004554271697998047,0.0018732674652710557,0.0,0.0,0.0,0,0,0
